name,id,minutes,ingredients,steps,category
a hole in one breakfast a la midwest living,291960,37,"['bulk pork sausage', 'fresh mushrooms', 'red bell peppers', 'green onion', 'cheddar cheese', 'whole wheat bread', 'butter', 'eggs', 'salt', 'ground black pepper', 'crushed red pepper flakes']","['in a 12"" nonstick skillet , cook sausage , mushrooms , sweet peppers , green onions & pinch or two , of crushed red peppers , until meat is brown and vegetables are tender , stirring to break up sausage as it cooks', 'remove sausage mixture from skillet', 'drain', 'in a small bowl , combine sausage mixture and cheese & set aside', 'carefully wipe skillet clean with paper towels', 'set aside', 'with a 2"" round cookie cutter or a small juice glass , cut out the center of each slice of bread', 'spread both sides of the bread slices with the butter or margarine', 'in same 12"" skillet , toast bread on one side over medium heat about 2 minutes , or until golden brown', 'reduce heat to medium-low', 'turn the bread slices over', 'break one of the eggs into a 1-cup glass measuring cup with a handle', 'holding lip of cup as close to the bread as possible , carefully slide the egg into the hole', 'repeat this step with the remaining 3 eggs and bread slices', 'spoon sausage mixture over bread slices', 'avoiding the egg as much as possible', 'cooke , covered , for 10-15 minutes , or until eggs are firm', 'using a wide spatula , carefully lift out bread-&-egg slices and transfer to 4 dinner plates', 'sprinkle eggs with salt , pepper & crushed red pepper , if using , to taste']",vegetable
a honey of a salad,59384,10,"['plain yogurt', 'lime juice', 'honey', 'lime zest', 'avocados', 'kiwi fruits', 'banana', 'papaya', 'sweetened flaked coconut']","['prepare honey lime dressing by combining first four ingredients in a bowl and blending until smooth', 'mix prepared fruit together in serving bowl', 'pour honey lime dressing over top', 'sprinkle with coconut and serve']",fruit
a humdinger of a wrap,454927,15,"['mayonnaise', 'thai sweet chili sauce', 'worcestershire sauce', 'chili powder', 'sriracha sauce', 'swiss cheese', 'cheddar cheese', 'spinach', 'portabella mushroom', 'red bell peppers', 'summer squash', 'sweet onions', 'fresh basil', 'salt', 'fresh ground black pepper', 'tortillas', 'chopped tomato', 'avocado', 'chips', 'mixed sprouts']","['mix the mayonnaise , thai sweet chili sauce , worcestershire sauce , chili powder and sriracha sauce in a bowl', 'add to the sauce cheeses , spinach , mushrooms , bell pepper , squash , onion and basil', 'stir well to mix thoroughly', 'season to taste with salt and pepper', 'divide the mixture between the tortillas', 'top with the optional topping / toppings if using', 'wrap and eat immediately', 'keep napkins handy ! enjoy !', 'if tortillas are stiff , you can warm them about 10-15 seconds to make more flexible', 'to wrap:', 'fold right and left edges of tortilla over the fillinig , toward the center', 'fold the bottom edge of tortilla toward the center and gently roll until completely wrapped aroung the filling']",vegetable
a jerky chicken,502749,75,"['onion', 'brown sugar', 'soy sauce', 'red wine vinegar', 'fresh thyme', 'sesame oil', 'garlic cloves', 'ground allspice', 'habanero pepper', 'boneless skinless chicken breast halves']","['combine the onion , brown sugar , soy sauce , vinegar , thyme , sesame oil , garlic , allspice and habanero pepper in the container of a food processor or blender', 'process until smooth', 'place the chicken into a large resealable bag , and pour in 3 / 4 of the sauce', 'squeeze out excess air , and seal', 'marinate in the refrigerator for at least one hour', ""preheat your oven's broiler"", 'remove chicken from bag , and discard marinade', 'broil chicken for 10 to 15 minutes , turning once to ensure even cooking', 'heat remaining sauce in a small pan , and pour over chicken when serving']",vegetable
a jolly christmas special cosmo or red hot lovers cosmo,109007,5,"['vodka', 'cranberry juice', 'triple sec', 'cranberry liqueur', 'lime, juice of']","['in a shaker fill with ingredients add ice and shake', 'pour into a martini glass', 'garnish with lime slice and fresh cranberries']",fruit
a kick in the asparagus,124597,186,"['asparagus', 'italian salad dressing', 'cayenne pepper', 'worcestershire sauce']","['mix everything except asparagus and set aside', 'cut one inch off the bottom of the asparagus , or trim with a veggie peeler', 'in a shallow 9 inch casserole dish , place the asparagus in the dish and cover with the above marinade', 'let sit one to three hours', 'prepare the grill for the direct heat method', 'grill the asparagus using a medium-hot temperature and baste with the marinade frequently', 'grill for no more than six minutes', 'mushy asparagus is ickkkyyy']",vegetable
a kiwi warrior burger for the barbie   barbecue,230475,40,"['lean ground beef', 'onion', 'garlic cloves', 'prepared mustard', 'sweet chili sauce', 'prepared horseradish', 'worcestershire sauce', 'egg', 'breadcrumbs', 'salt and pepper', 'hamburger buns', 'lettuce', 'tomatoes', 'pickle', 'fresh cream', 'sour cream', 'chutney', 'cayenne pepper']","['combine all the patty ingredients and form into 6 patties of equal size with wet hands', 'make the warrior topping by combining the whipped cream with the sour cream , stirring in the rest of the ingredients and mixing well', 'keep refrigerated until needed', 'barbecue the patties on an oiled grill for about 5 minutes per side , over a moderate heat', 'assemble the burgers by stacking on freshly toasted buns , the patties , lettuce , sweet cucumber pickle , sliced tomatoes and a dollop of warrior topping']",vegetable
a la rousse salad  romanian,305227,50,"['potatoes', 'carrots', 'peas', 'dill pickles', 'red bell peppers', 'mayonnaise', 'pickle juice', 'mustard', 'salt', 'spices', 'vegetarian sausages']","['wash the potatoes and the carrots well , then boil them unpealed until a fork can easily go in and out', 'dice the potatoes , carrots , pickles , pickled bell peppers , and sausages', 'mix with the rest of the ingredients']",vegetable
a la truck shrimp,60892,20,"['lime juice', 'sugar', 'fish sauce', 'sambal oelek chili paste', 'shrimp', 'cilantro leaf']","['thoroughly combine the lime juice , sugar , fish sauce or oyster sauce and sambal or chili paste in a jar or small bowl sauce', 'pour this sauce into a 10-inch non-stick pan', 'turn the heat to medium high and bring to a boil', 'add the shrimp and reduce heat to medium low', 'cook until the shrimp is tender and the sauce thickens slightly , about 3 to 4 minutes if you like a thicker sauce , temporarily remove the cooked shrimp with a slotted spoon while the sauce continues to thicken , this will prevent the shrimp from becoming overcooked and rubbery', 'add cilantro to the sauce', 'taste and adjust the seasonings , pour over cooked rice or noodles']",fruit
a lighter broccoli salad,316454,10,"['broccoli', '2% cheddar cheese', 'purple onion', 'shortcut bacon', 'light mayonnaise', 'splenda sugar substitute', 'red wine vinegar']","['mix salad ingredients', 'in separate bowl , mix dressing ingredients', 'combine the two just before serving']",vegetable
a lighter corn chowder,151228,25,"['reduced-sodium chicken broth', 'frozen whole kernel corn', 'onion', 'sweet pepper', 'black pepper', 'evaporated skim milk', 'all-purpose flour']","['combine broth , corn , onion , sweet pepper , and black pepper in medium saucepan', 'bring to boiling', 'reduce heat', 'simmer , covered , about 5 minutes or until veggies are tender', 'in a small mixing bowl , stir together milk and flour', 'stir into broth mixture', 'cook & stir until thick and bubbly', 'cook stirring constantly 1 minute more']",vegetable
a little apple crisp,54052,45,"['cooking apples', 'lemon juice', 'flour', 'oatmeal', 'brown sugar', 'salt', 'cinnamon', 'butter']","['place apple slices in greased shallow baking dish', 'sprinkle with lemon juice', 'combine dry ingredients and butter', 'mix until crumbly and sprinkle over apples', 'bake at 350 degrees f for 30 minutes or until apples are tender']",fruit
a little bit of heaven in coney island hot dog sauce,239821,200,"['butter', 'margarine', 'lean ground beef', 'onions', 'garlic clove', 'celery seed', 'salt and pepper', 'chili powder', 'hot sauce', 'crushed red pepper flakes', 'ketchup', 'spicy brown mustard', 'tomato sauce', 'water', 'brown sugar', 'hot dogs']","['combine everything except weiners and simmer until thick-do not brown meat first', 'i suggest using a potato masher to mix everything', 'grind the weiners and add to pot', 'stir and cook on low for a few hours to let all the flavors soak into meat', 'if you want you can place sauce in a crock pot in morning and will be ready that evening', 'the longer it cooks the better it is !', 'serve over hot dogs on buns and enjoy !']",vegetable
a little bit spicy deviled eggs,395663,20,"['hard-cooked eggs', 'mayonnaise', 'dijon mustard', 'chives', 'hot sauce', 'salt', 'ground black pepper', 'paprika', 'chili powder']","['remove the egg yolks to a small bowl and mash with a fork', 'add mayonnaise , mustard , 1 tsp of the chives , hot sauce , salt and pepper and mix thoroughly', 'fill the empty egg white shells with the mixture and sprinkle lightly with chives then the paprika', 'sprinkle over a little chili powder , if desired', 'cover lightly with plastic wrap and refrigerate for up to one day before serving', 'enjoy !']",vegetable
a little different broccoli cornbread,313377,55,"['butter', 'jiffy corn muffin mix', 'frozen chopped broccoli', 'onion', 'ricotta cheese', 'eggs', 'cheddar cheese']","['preheat oven to 375 degrees f', 'place stick of butter or margarine in casserole dish', 'heat in oven just until melted', 'remove dish from oven and carefully tilt so that sides are coated', 'in a large mixing bowl , combine cornbread mix , broccoli , onion , ricotta and eggs', 'stir well to mix', 'add approximately 1 / 2 cup grated cheese , stirring well again', 'pour mixture into buttered baking dish , using a spatula to distributed evenly', 'bake for 30 minutes', 'remove from oven and sprinkle with additional cheese , to taste', 'return to oven for 10-15 minutes , until cornbread is done and cheese has melted', 'cut into squares and serve immediately']",vegetable
a little different macaroni salad,32792,30,"['macaroni', 'green onions', 'green pepper', 'carrot', 'low calorie catalina salad dressing', 'miracle whip light', 'cayenne pepper', 'chili powder', 'italian seasoning']",['mix all ingredients and enjoy !'],vegetable
a little dinghy,15764,1,"['parrot bay coconut rum', 'malibu rum', 'cranberry juice', 'pineapple juice', 'orange juice']","['pour the shots into a glass of ice', 'then fill the glass with equal parts orange juice , cranberry juice , and pineapple juice', 'garnish with a pineapple wedge , an orange slice , and an umbrella']",fruit
a little more devil in these eggs,327059,30,"['eggs', 'mayonnaise', 'green onions', 'sun-dried tomatoes packed in oil', 'fresh basil']","['place eggs in a single layer in a large saucepan', 'add cold water , filling the pan to 1 inch above eggs', 'cover', 'bring to a boil over hight heat', 'remove pot from heat and let stand , covered , until the eggs are hard-boiled , about 15 minutes', 'place eggs under cold running water', 'peel eggs', 'cut in half', 'using a spoon , remove yolks', 'in a blender , combine yolks , , mayonnaise , green onion , sun-dried tomato and 1 tbsp basil', 'process until smooth , about 7 seconds', 'spoon the filling into a pastry bag with a large star', 'pipe filling into egg white halves', 'garnish with remaining basil']",vegetable
a lulu of a wrap,430182,10,"['mayonnaise', 'chili sauce', 'worcestershire sauce', 'dry sherry', 'chili powder', 'cayenne pepper', 'sharp cheddar cheese', 'chopped tomato', 'green bell pepper', 'red onions', 'sea salt', 'flour tortillas', 'alfalfa sprout']","['combine the mayonnaise , chili sauce , worcestershire sauce , shery , chili powder , and cayenne if using , in a medium bowl', 'add the cheese , tomato , bell pepper , and onion', 'stir until well incorported', 'season to taste with sea salt', 'divide the cheese mixture evenly among the tortillas , top with the sprouts , and wrap', 'enjoy right away', 'how to wrap:', 'if tortilla is stiff , warm slightly to make more flexible', 'fold the right and left edges of the tortilla over the filling , toward the center', 'fold the bottom edge of the tortilla toward the center and gently roll until the tortilla is completely wrapped around the filling']",vegetable
a mainly citrus salad  dessert,282988,10,"['blood oranges', 'tangerine', 'white grapefruit', 'pink grapefruit', 'red grapefruit', 'strawberries', 'blueberries', 'key lime juice', 'white wine', 'honey']","['after sectioning the citrus , washing the berries and cutting the strawberries in half , put them all in a large bowl', 'in a small bowl mix the white wine , honey and key lime juice together', 'as well i used sauvignon white wine because it has a citric taste to it , and although it doesnt usually pair well with fruits , it blended too well with the fruit salad', 'pour the mix into the salad , and let it marinate for at least 30 minutes before serving']",fruit
a meal in a pumpkin,183627,150,"['onions', 'hamburger meat', 'sausage', 'soy sauce', 'brown sugar', 'mushroom', 'cream of chicken soup', 'water chestnuts', 'bell pepper', 'jalapeno', 'pimentos', 'cooked rice', 'black pepper', 'salt', 'creole seasoning', 'pumpkin', 'shortening']","['preheat oven to 350 degrees', 'brown and drain beef along with onions and sausage', 'cook until no longer pink and drain well', 'cut top off of pumpkin and reserve', 'clean seeds and strings from pumpkin', 'clean well', 'coat pumpkin skin with shortening', 'mix all ingredients together in a large bowl', 'spoon ingredients into pumpkin', 'place top back on pumpkin', 'wrap foil over the stem', 'bake on a cookie sheet for 2 to 3 hours depending on the size of pumpkin', 'do not overbake', 'the pumpkin should not begin to brown']",vegetable
a meal in one,246991,35,"['lean ground beef', 'instant minced onion', 'chili powder', 'tomato sauce', 'elbow macaroni', 'salt and pepper', 'cheddar cheese']","['boil macaroni in salted water', 'drain', 'brown ground beef with onion until fully cooked', 'drain excess fat if necessary', 'add chili powder , cooking a little longer , then add tomato sauce', 'season to taste with salt and pepper , continuing to simmer', 'stir in cooked macaroni and half of the cheese , mixing well', 'remove from heat , sprinkle remaining cheese on top and cover so cheese will melt']",vegetable
a memory of french onion soup,142846,190,"['butter', 'oil', 'onions', 'sugar', 'flour', 'beef broth', 'water', 'salt & pepper', 'port wine', 'burgundy wine', 'french bread', 'mozzarella cheese']","['in large soup pot , melt butter with oil', 'add onions and cook slowly until translucent', 'add sugar and flour and cook for 1-2 minutes', 'add broth , water and seasonings and simmer for 30 minutes', 'stir in wines , and simmer for 2 more hours', 'preheat broiler', 'to serve , pour soup into oven- proof crocks', 'place a slice of french bread on top of soup', 'cover bread with lots of sliced or shredded cheese , your choice', 'place soup crocks in oven on a sheet pan and broil until cheese is melted and bubbly', 'i like to place slices of cheese slightly over the edge , so it completely seals the top and melts down the side of each crock', ""i'm guessing 8-10""]",vegetable
a mere trifle  strawberries and clotted cream trifle,412075,120,"['single trifle sponge cakes', 'strawberry jam', 'madeira wine', 'strawberries', 'golden caster sugar', 'clotted cream', 'custard', 'toasted sliced almonds', 'vanilla pod', 'rose petal']","['first of all cut the trifle sponges in half lengthways or cut the sponge cake into slices , spread each half or slice with strawberry jam , then re-form them and cut each one into 3 little sandwiches', 'now arrange them in a 3 pint trifle bowl', 'then make a few stabs in the sponges and sprinkle the madeira carefully and evenly over them , then leave it all aside for half an hour so it can soak inches', 'after that , sprinkle half the strawberries over the top of the trifle sponges , pushing some down in amongst them', 'then put the rest into a mini chopper or food processor along with the sugar , whiz to a pure then drizzle the pure over the strawberries', 'meanwhile , empty the custard into a jug , split the vanilla pod lengthways and , using a teaspoon , scrape the seeds into the custard and mix together', 'spoon the custard evenly over the top of the strawberries , then dollop the clotted cream over the custard smoothing it with the back of a knife and lastly sprinkle with toasted flaked almonds and scatter with rose petals if using', 'now you need to cover the dish with clingfilm and make sure it is well chilled before serving , up to two hours is ideal']",fruit
a mighty fine black forest cheesecake,417845,105,"['chocolate wafers', 'brown sugar', 'unsalted butter', 'cream cheese', 'semisweet chocolate', 'all-purpose flour', 'salt', 'granulated sugar', 'kirsch', 'pure vanilla extract', 'eggs', 'cherry pie filling', 'sliced almonds', 'whipped cream', 'maraschino cherry', 'chocolate shavings']","['position a rack in the center of the oven and preheat the oven to 375f', 'in a bowl , stir together the chocolate wafer crumbs brown sugar', 'mix in the melted butter until the crumbs are evenly moist', 'place the mixture to a 9-inch spring form pan and press evenly onto the bottom and about 2 inches up the sides of the pan', 'bake the crust 10 minutes', 'let the pan cool on a rack', 'lower the oven temperature to 300f', 'in a stand mixer fitted with the paddle attachment , beat the cream cheese , melted dark chocolate , flour , and a pinch of salt on medium speed , scraping down the sides of the bowl and the paddle frequently , until very smooth and fluffy , about 5-7 minutes', 'making sure the cheese has no lumps', 'add granulated sugar and continue beating until well blended and smooth', 'add the kirsch or dark rum and vanilla , and beat until blended , about 30 seconds', 'add the eggs one at a time , beating just until blended', 'pour the filling into the cooled crust and smooth the top', 'bake at 300f until the center jiggles when nudged , 55 to 65 minutes', 'the cake will be slightly puffed around the edges , and the center will still look moist', 'set on a rack and cool completely', 'cover and refrigerate until well chilled , at least 8 hours and up to 3 days', 'the cake can also be well wrapped and frozen at this point for up to 1 month', 'unclasp and remove the side of the spring form pan and run a long , thin metal spatula under the bottom crust of the cheesecake', 'carefully slide the cake onto a flat serving plate', 'pour the cherry topping on the cheesecake and spread evenly', 'garnish with whipped cream , top with maraschinos and sprinkle with almond slices , and chocolate shavings if desired and serve immediately', 'to cut , run a thin knife under hot water , wipe it dry , and cut the cake into slices , heating and wiping the knife clean after every slice']",fruit
a more healthy vegetable medley,351897,45,"['onion', 'red bell pepper', 'eggplant', 'cauliflower', 'zucchini', 'sliced mushrooms', 'salsa', 'balsamic vinegar', 'broccoli', 'dried oregano', 'dried basil', 'ground red pepper']","['heat a large skillet coated with cooking spray over medium heat', 'add the onion and bell pepper and cook for 2 minutes', 'add the eggplant , cauliflower , zucchini , and mushrooms and cook for 3 minutes', 'stir in the salsa , vinegar , oregano , basil , and red pepper', 'stir in the broccoli and cover', 'cook for 12 minutes , or until the vegetables are tender', 'season with additional oregano and basil , if desired']",vegetable
a mountain of make ahead mashed potatoes,88831,85,"['potatoes', 'sour cream', 'cream cheese', 'butter', 'dried onion flakes', 'salt', 'paprika']","['place potatoes in large pot , cover with water , and bring to a boil', 'reduce heat , cover , and cook for 20-25 minutes or until potatoes are tender', 'drain potatoes , place in large bowl , and mash with sour cream , cream cheese , onions , salt , and 4 tablespoons of butter , stirring until butter and cream cheese have melted', 'spread potatoes into greased 13 x 9 baking dish', 'melt remaining butter and drizzle over potatoes', 'sprinkle with paprika , cover , and refrigerate until ready to use', 'refrigerated potatoes need to sit at room temperature for 30 minutes before baking', 'cover with tin foil and bake at 350 degrees for 40 minutes , then remove foil and bake for another 20 minutes']",vegetable
a mouth watering smoothie,132587,2,"['mixed berries', 'plain yogurt', 'banana', 'apple juice', 'ice cubes']","['put fruit in blender', 'add any kind of juice', 'blend away']",fruit
a new corn chowder,69448,135,"['low sodium chicken broth', 'water', 'potatoes', 'onion', 'frozen corn', 'table cream', 'marjoram', 'basil', 'chili powder', 'garlic salt', 'bacon', 'cheddar cheese', 'salt', 'cracked pepper', 'green onion', 'sour cream']","['bring broth and water to a boil', 'add potato slices and onions and reduce heat to min-med', 'add corn and stir', 'cook for 1 hour or until potatoes start to break down', 'add remaining ingredients and cook at least 30 minutes', 'spoon out into bowl and garnish with green onion and sour cream']",vegetable
a new spaghetti with clams,115,40,"['littleneck clams', 'extra virgin olive oil', 'garlic', 'canadian bacon', 'hot pepper flakes', 'dry white vermouth', 'bottled clam broth', 'baking potato', 'spaghetti', 'flat leaf parsley']","['bring 4 quarts of water to a boil in a large pot for cooking pasta', 'scrub', 'the clam shells under cold water with a stiff bristle brush', 'heat the olive oil in a large nonstick skillet', 'add the garlic and cook over a medium heat until fragrant but not brown , about 1 minute', 'stir in the bacon and pepper flakes and cook for 1 minute', 'add vermouth and bring to a boil', 'add the clam broth , and bring to a boil', 'stir in the potatoes and clams , tightly cover the pan , and cook until the shells open and the potatoes are tender , about 8 minutes', 'cook the spaghetti in the boiling water until al dente , about 8 minutes', 'drain the pasta in a colander', 'stir it into the sauce and cook until thoroughly heated and coated with sauce , about 2 minutes', 'stir in the parsley and serve at once']",vegetable
a new spinach dip,154834,10,"['sour cream', 'dry vegetable soup mix', 'salsa ranch dressing', 'frozen chopped spinach']","['thaw the spinach and squeeze the water out', 'mix all the ingredients together in a quart-sized bowl', 'tastes best if allowed to chill in refrigerator at least one hour before serving', 'serve with toast , crackers , chips or fresh vegetables']",vegetable
a newfoundlander s coffee,324567,20,"['rum', 'coffee liqueur', 'baileys irish cream', 'strong coffee', 'dark brown sugar', 'whipped cream', 'maraschino cherry']","['measure screech or rum and liqueurs into a mug', 'add the hot coffee and sugar and stir', 'top with whipped cream and a cherry', 'sit back , relax and enjoy']",fruit
a night in paris,418874,2,"['cranberries', 'orange sections', 'simple syrup', 'vodka', 'grand marnier']","['in a cocktail shaker , mash cranberries and orange segment , with syrup', 'fill shaker with ice', 'add vodka and grand marnier', 'shake and strain into a martini glass', 'garnish with an orange slice and cranberry']",fruit
a no recipe baked mashed parsnips  onion   cauliflower,401163,50,"['cauliflower', 'parsnips', 'onion', 'garlic', 'butter', 'heavy cream', 'salt', 'pepper', 'italian seasoned breadcrumbs', 'parmesan cheese']","['vegetables -- in a large pot , add the cauliflower and parsnips and then top with enough salted water to cover the vegetables', 'bring up to a boil and then reduce to medium and cook until the parsnips and cauliflower is tender', 'they should take about 10-15 minutes', 'drain and return to the pot to dry out the extra water', 'reduce the temp to medium low', 'topping -- as the vegetables cook -- just put the butter in a small microwavable bowl or cup and melt , just a few seconds', 'remove and let cool a minute or so , then stir in the bread crumbs and cheese and set to the side', 'mash -- now in the pot with the vegetables after they have dried a minute or so , add the butter , cream , onion , garlic , salt and pepper and start slow', 'mash and see what the texture is', 'you can always use a bit more cream or a bit more butter , but i start slow and add a little at a time', 'mash until you get the consistency you like', 'bake -- 350 degree oven preheated', 'just add the mashed vegetables to a small baking dish sprayed with non-stick spray and then top with the bread crumbs', 'bake until golden brown', 'about 15-20 minutes', 'serve -- with anything and enjoy', ""it's like a baked potato dish , but no spuds - just healthier"", 'really good !']",vegetable
a nudge  a coffee nudge,285395,5,"['creme de cacao', 'coffee liqueur', 'hazelnut-flavored liqueur', 'brandy', 'coffee', 'vanilla ice cream', 'whipped cream', 'chocolate-covered coffee beans']","['put the scoope of ice cream in the bottom of a tall mug', 'pour the creme de cacao , kahlua , brandy and frangelica over the ice cream', 'slowly pour in the coffee , add the whipped cream and sprinkle the ground coffee beans on top', 'sit back , relax and enjoy']",vegetable
a ptissier s black forest cake,307279,2915,"['egg whites', 'granulated sugar', 'cake flour', 'sugar', 'baking soda', 'kosher salt', 'salad oil', 'whole milk', 'egg yolks', 'unsweetened chocolate squares', 'cocoa powder', 'tart red cherries', 'port wine', 'kirschwasser', 'almond extract', 'semi-sweet chocolate baking squares', 'kirsch', 'egg', 'whipping cream', 'unsalted butter', ""confectioners' sugar"", 'half-and-half', 'vanilla extract', 'vanilla', 'chocolate curls', 'whipped cream', 'maraschino cherry']","['pre heat oven to 350 degrees , and make sure your fridge can house the cake periodically through out the prep', 'a day ahead: begin with the cherry filling , it will take overnight to do it properly', 'combine the can of drained cherries with 1 / 2 cu port wine , 1 tbls kirsch and 3-4 drops of almond extract in a sealed container and chill overnight', 'drain before using', 'the cake will be chilled periodically in between steps', 'if this is not done , your cake will fall apart', 'this cake needs to be assembled on a heavy- duty cake stand if it is to stay at home', 'if it is to be transported , use a cake carrier and drive carefully , then chill promptly to prevent it from ""melting""', 'for the cake: you will need 9 x 1 1 / 2 in round cake pans , greased , lightly floured with either flour or cocoa powder', 'i line the bottom with parchment paper to aid in removal and to prevent sticking', 'wire racks will help when it is time to cool them', 'in the bowl of an electric mixer , with the whisk attachment , beat 2 egg whites until soft peaks form', 'gradually add 1 / 2 cu sugar and beat until stiff peaks form', 'set aside in bowl', 'the cake: sift together 1 3 / 4 cu cake flour , 1 cu sugar , 3 / 4 tsp baking soda , and 1 tsp kosher salt into the mixing bowl', 'add 1 / 3 cu salad oil and 1 / 2 cu milk and beat on med speed with paddle attachment , scraping bowl often', 'add 1 / 2 cu milk , 2 egg yolks , and 2 oz of unsweetened baking chocolate that has been melted in a double boiler and cooled', 'beat 1 minute longer , scraping bowl frequently', 'gently fold in the egg white mixture by hand with a spatula', 'pour into the prepared pans and bake about 30-35 minutes', 'cool in pan 10 minutes', 'remove from pans and cool thoroughly on wire racks', 'when cooled , split the 2 layers , resulting in 4 total', 'dental floss is a great way to do this , slowly ""saw"" from back to front', 'set aside', 'chocolate mousse: combine 3 oz of semisweet baking chocolate and 3 tbls kirsch in a double boiler: stir over hot , but not boiling water until chocolate melts and mixture is smooth', 'let cool slightly , then slowly stir into 1 well beaten egg', 'whip 1 cu whipping cream and 2 tbsl sugar', 'fold into chocolate and chill atleast 2 hours', ""butter frosting: an the bowl of an electric mixer , cream together the 6 tbls butter , and half the confectioner's sugar"", 'add 2 tbls half and half and 1 1 / 2 tsp vanilla extract', 'gradually add in the remaining sugar', 'once incorporated , add enough half and half to make it spreading consistency', 'chill 30 min or so', 'assembly should be done in stages to allow cake to set up and not fall !', 'to assemble: spread 1 / 2 cu butter frosting on the cut side of a cake layer', 'with the remaining butter frosting , make a ridge 1 / 2 an inch wide and 3 / 4 of an in tall around the outside edge', 'make a second ridge 2 in from the outside edge', ""think target , or bull's eye"", 'chill 30 minutes', 'fill spaces with drained cherry filling', 'top with 2nd layer', 'spread this layer with the mousse', 'chill 30 minutes', 'while this is chilling , whip 2 cu whipping cream and 2 tbls sugar and 1 tsp vanilla extract', 'top mousse layer with 3rd cake layer', 'use 1 1 / 2 cu whipped cream to cover this 3rd layer', 'chill 30 minutes', 'top with the final 4th layer , and use remaining whipped cream to cover sides and top of cake', 'sift cocoa powder over top , and garnish with chocolate curls or shavings , dollops of whipped cream and maraschino cherries', 'chill 2 hours']",fruit
a perfect salade nicoise,309855,50,"['new potatoes', 'salt', 'green beans', 'nicoise olive', 'hard-cooked eggs', 'tomatoes', 'tuna', 'red wine vinegar', 'fresh ground pepper', 'dijon mustard', 'olive oil', 'fresh parsley', 'anchovy fillets']","['boil potatoes in salted water to cover until tender , about 20 minutes', 'remove with slotted spoon and let cool', 'add beans to same water and boil until crisp-tender , about 7 minutes', 'drain and cool under cold running water', 'arrange potatoes , beans , olives , eggs , and tomato on large platter', 'spoon tuna into center', 'whisk vinegar , mustard , 1 / 8 t', 'salt , and pepper to taste in small bowl until blended', 'gradually pour in oil , whisking until emulsified', 'whisk in parsley , then drizzle vinaigrette over salad', 'top with anochovies , if desired']",vegetable
a perfect sugar cookie,182356,60,"['butter', 'vegetable oil', ""confectioners' sugar"", 'white sugar', 'eggs', 'vanilla extract', 'lemon extract', 'all-purpose flour', 'cream of tartar', 'baking soda', 'salt']","['preheat the oven to 375 degrees f', 'sift together the flour , cream of tartar , baking soda and salt', 'set aside', ""in a large bowl , cream together the butter , oil , confectioners' sugar and white sugar until well blended"", 'stir in the eggs , vanilla and lemon extracts', 'gradually mix in the dry ingredients until well blended', 'roll the dough into walnut sized balls', 'place the cookies 2 inches apart onto the cookie sheet', 'flatten cookies to 1 / 8 inch thickness using the bottom of a glass dipped in sugar', 'colored sugar may be used if you do not plan to frost cookies later', 'bake for 9 to 12 minutes in the preheated oven , or until the edges are golden brown', 'allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely']",fruit
a picky eaters  chicken casserole,153156,35,"['frozen chopped broccoli', 'cream of chicken soup', 'cooked chicken', 'sour cream', 'cheddar cheese', 'ritz crackers', 'margarine']","['preheat oven to 425', 'cook the chopped broccoli in your microwave according to package directions , then spread on the bottom of a 9x13 baking dish', 'mix together the soup , chicken , and sour cream', 'spread mixture on top of the broccoli', 'sprinkle the cheese all over the chicken mixture', 'crush your crackers', 'then mix your melted margarine with your crackers', 'spread the buttery crackers all over the cheese', 'bake for 25 minutes at 425 degrees']",vegetable
a pie to try,93329,31,"['eggs', 'cream of tartar', 'sugar', 'sweetened condensed milk', 'lemons', 'vanilla wafer']","['a pie you say ?', 'tis easy this way', 'first take 3 eggs and separated and to the whites add 1 teaspoon of cream of tartar', ""then beat the poor things until you're ready to scream"", 'to atone for the beating add 3 tablespoons of sugar', 'to quietly take first prize , beat the same length of time as before', 'then let the whites rest and return to the yolks which have patiently waited', 'combine a can of sweetened condensed milk', 'then add the juice of the three lemons', 'quite sour you know , but that makes the magic', 'for low and behold , a custard results from mixing it all together', 'the pie crust , you crush one box of vanilla wafers and place on a greased pie pan to make a lucious mouthful', 'pour the custard and add a crown of stiff egg whites', 'pop it into the oven and brown it']",fruit
a pinch of soul barbecue sauce  microwave,277595,16,"['unsalted butter', 'garlic cloves', 'onion', 'ketchup', 'brown sugar', 'cider vinegar', 'soy sauce', 'worcestershire sauce', 'cayenne pepper']","['in 1 quart measuring glass combine garlic , onion and butter', 'cook on high 3-4 minutes or until tender', 'stir in remaining ingredients and cook on high for 7 minutes , stirring once', 'serve at table , warm or room temperature']",vegetable
